Year,RoundNumber,EventName,Driver,current_lap,total_laps,stint_number,compound,stint_length,pace_delta_3lap,pace_delta_5lap,Position,gap_ahead,gap_behind,pit_stop_count,safety_car_active,track_temp,rain,label
2021,1,Bahrain Grand Prix,ALO,8.0,56.0,1.0,0,11.0,-0.950666666666668,-8.354000000000003,7.0,0.3670000000000044,0.3059999999999974,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,9.0,56.0,1.0,0,12.0,0.4699999999999988,-2.6502000000000008,8.0,1.2650000000000006,0.6659999999999968,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,10.0,56.0,1.0,0,13.0,0.1306666666666653,-0.6200000000000017,8.0,0.1439999999999912,0.2540000000000049,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,13.0,56.0,2.0,1,2.0,-0.3873333333333353,-0.1616000000000013,15.0,-1.6820000000000022,2.841000000000008,1,False,27.627819548872186,False,0
2021,1,Bahrain Grand Prix,ALO,14.0,56.0,2.0,1,3.0,-0.6396666666666656,-0.0445999999999997,10.0,1.590999999999994,0.3340000000000032,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,15.0,56.0,2.0,1,4.0,-0.1036666666666642,-0.1117999999999995,11.0,1.3659999999999997,0.6060000000000088,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,16.0,56.0,2.0,1,5.0,0.1130000000000042,-0.3757999999999981,9.0,0.3930000000000007,0.1180000000000092,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,17.0,56.0,2.0,1,6.0,0.2179999999999987,0.0078000000000002,10.0,1.4639999999999986,1.6469999999999914,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,18.0,56.0,2.0,1,7.0,-0.154333333333336,0.0280000000000001,10.0,0.0330000000000012,0.6199999999999903,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,19.0,56.0,2.0,1,8.0,0.1076666666666644,0.0725999999999999,10.0,-0.5019999999999953,1.0559999999999974,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,20.0,56.0,2.0,1,9.0,0.427000000000002,0.3262,9.0,-0.5060000000000002,0.1120000000000089,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,21.0,56.0,2.0,1,10.0,1.0353333333333363,0.5813999999999993,11.0,0.0940000000000083,2.424999999999997,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,22.0,56.0,2.0,1,11.0,0.0843333333333333,-0.0075999999999993,10.0,2.1260000000000048,0.1880000000000024,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,23.0,56.0,2.0,1,12.0,-0.2336666666666692,0.2786000000000001,11.0,1.391999999999996,0.2540000000000049,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,24.0,56.0,2.0,1,13.0,-0.8286666666666681,0.0195999999999997,11.0,0.7069999999999936,1.4500000000000028,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,25.0,56.0,2.0,1,14.0,-0.0543333333333322,-0.2963999999999999,11.0,0.5769999999999982,0.7720000000000056,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,26.0,56.0,2.0,1,15.0,0.127,-0.2664000000000016,12.0,2.5630000000000024,1.441999999999993,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,27.0,56.0,2.0,1,16.0,-0.0523333333333321,-0.0623999999999995,12.0,0.7900000000000063,0.3430000000000035,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,28.0,56.0,2.0,1,17.0,0.0649999999999977,-0.1171999999999997,12.0,0.9209999999999924,0.5849999999999937,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,ALO,31.0,56.0,3.0,2,2.0,-0.8983333333333311,-0.3081999999999993,15.0,-0.1219999999999998,3.0330000000000013,2,False,27.627819548872186,False,0
2021,1,Bahrain Grand Prix,BOT,8.0,56.0,1.0,1,11.0,-2.542999999999997,-9.0912,3.0,-0.0529999999999972,1.86399999999999,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,9.0,56.0,1.0,1,12.0,-0.0076666666666653,-2.1920000000000015,3.0,0.9380000000000024,0.2740000000000009,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,10.0,56.0,1.0,1,13.0,0.0166666666666657,-1.449199999999999,3.0,0.3230000000000075,1.117999999999995,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,11.0,56.0,1.0,1,14.0,0.1206666666666649,-0.1449999999999988,3.0,0.2409999999999996,0.7780000000000058,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,12.0,56.0,1.0,1,15.0,-0.2086666666666682,0.0209999999999979,3.0,-0.0470000000000112,1.994,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,13.0,56.0,1.0,1,16.0,0.0060000000000002,0.0801999999999992,3.0,0.132000000000005,1.2369999999999948,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,14.0,56.0,1.0,1,17.0,0.1173333333333346,-0.0699999999999988,2.0,-0.1439999999999912,0.8549999999999898,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,15.0,56.0,1.0,1,18.0,0.0410000000000015,0.0355999999999994,2.0,-0.3410000000000082,2.525999999999996,0,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,18.0,56.0,2.0,2,2.0,-0.4616666666666684,-0.2692000000000007,3.0,-0.2280000000000086,3.0859999999999985,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,19.0,56.0,2.0,2,3.0,-0.7393333333333345,-0.3883999999999986,3.0,0.0969999999999942,1.5660000000000025,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,20.0,56.0,2.0,2,4.0,-0.6029999999999992,-0.3298000000000002,3.0,-0.0960000000000036,1.688999999999993,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,21.0,56.0,2.0,2,5.0,0.0200000000000007,-0.327600000000001,3.0,0.2690000000000054,1.4710000000000036,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,22.0,56.0,2.0,2,6.0,0.1863333333333325,-0.3012,3.0,-0.0820000000000078,1.293999999999997,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,23.0,56.0,2.0,2,7.0,0.1059999999999992,0.0108000000000004,3.0,-0.0300000000000011,1.4549999999999983,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,24.0,56.0,2.0,2,8.0,0.0316666666666662,0.1349999999999994,3.0,-0.0139999999999957,1.2160000000000082,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,25.0,56.0,2.0,2,9.0,-0.0183333333333308,0.0496000000000009,3.0,-0.0219999999999913,1.5429999999999922,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,26.0,56.0,2.0,2,10.0,0.0720000000000027,0.0420000000000015,3.0,0.3500000000000085,0.8439999999999941,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,27.0,56.0,2.0,2,11.0,0.0919999999999987,0.0783999999999991,3.0,0.3509999999999991,0.8210000000000122,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,28.0,56.0,2.0,2,12.0,0.1179999999999997,0.0568000000000012,3.0,0.25,1.2009999999999934,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,29.0,56.0,2.0,2,13.0,0.2023333333333331,0.1444000000000017,2.0,0.6330000000000098,0.7309999999999945,1,False,27.627819548872186,False,1
2021,1,Bahrain Grand Prix,BOT,32.0,56.0,3.0,2,2.0,-0.1163333333333298,0.0195999999999997,4.0,-1.4959999999999951,0.3379999999999938,2,False,27.627819548872186,False,0
2021,1,Bahrain Grand Prix,BOT,33.0,56.0,3.0,2,3.0,-0.306333333333337,-0.1702000000000026,4.0,-0.5840000000000032,2.0900000000000034,2,False,27.627819548872186,False,0
2021,1,Bahrain Grand Prix,BOT,34.0,56.0,3.0,2,4.0,-0.481000000000004,-0.1993999999999999,3.0,-0.193000000000012,1.3240000000000125,2,False,27.627819548872186,False,0
2021,1,Bahrain Grand Prix,BOT,35.0,56.0,3.0,2,5.0,-0.2399999999999996,-0.1951999999999998,3.0,-0.3449999999999988,1.6559999999999917,2,False,27.627819548872186,False,0
